Rank,CBSA Code,Metro Area Name,State(s),Population (2025),Population (2024),Population (2020),5-Year Change,5-Year Growth %,Counties,CSA Code,CSA Title
70,21340,"El Paso, TX",Texas,"881,291","883,344","869,771","11,520",1.3%,2,238,"El Paso-Las Cruces, TX-NM"
71,17900,"Columbia, SC",South Carolina,"879,918","871,029","830,251","49,667",6.0%,6,192,"Columbia-Sumter-Orangeburg, SC"
72,15980,"Cape Coral-Fort Myers, FL",Florida,"875,607","861,667","765,575","110,032",14.4%,1,163,"Cape Coral-Fort Myers-Naples, FL"
73,29460,"Lakeland-Winter Haven, FL",Florida,"874,790","851,434","730,148","144,642",19.8%,1,422,"Orlando-Lakeland-Deltona, FL"
74,14260,"Boise City, ID",Idaho,"864,243","845,389","770,194","94,049",12.2%,5,147,"Boise City-Mountain Home-Ontario, ID-OR"
75,37100,"Oxnard-Thousand Oaks-Ventura, CA",California,"830,851","833,431","843,793","-12,942",-1.5%,1,348,"Los Angeles-Long Beach, CA"
76,19430,"Dayton-Kettering-Beavercreek, OH",Ohio,"826,554","820,950","814,230","12,324",1.5%,3,212,"Dayton-Springfield-Kettering, OH"
77,44700,"Stockton-Lodi, CA",California,"823,815","817,149","780,618","43,197",5.5%,1,488,"San Jose-San Francisco-Oakland, CA"
78,24660,"Greensboro-High Point, NC",North Carolina,"805,945","799,545","774,328","31,617",4.1%,3,268,"Greensboro--Winston-Salem--High Point, NC"
79,17820,"Colorado Springs, CO",Colorado,"781,796","777,099","758,467","23,329",3.1%,2,,
80,30780,"Little Rock-North Little Rock-Conway, AR",Arkansas,"777,607","772,588","748,989","28,618",3.8%,6,340,"Little Rock-North Little Rock, AR"
81,39340,"Provo-Orem-Lehi, UT",Utah,"773,426","758,992","675,397","98,029",14.5%,2,482,"Salt Lake City-Provo-Orem, UT-ID"
82,19780,"Des Moines-West Des Moines, IA",Iowa,"758,539","750,777","711,197","47,342",6.7%,6,218,"Des Moines-West Des Moines-Ames, IA"
83,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Florida,"746,933","737,391","671,822","75,111",11.2%,2,422,"Orlando-Lakeland-Deltona, FL"
84,28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",New York,"718,377","714,344","697,282","21,095",3.0%,2,408,"New York-Newark, NY-NJ-CT-PA"
85,49180,"Winston-Salem, NC",North Carolina,"712,206","705,337","676,371","35,835",5.3%,5,268,"Greensboro--Winston-Salem--High Point, NC"
86,31540,"Madison, WI",Wisconsin,"709,685","705,542","681,904","27,781",4.1%,4,357,"Madison-Janesville-Beloit, WI"
87,10420,"Akron, OH",Ohio,"701,780","700,152","701,686",94,0.0%,2,184,"Cleveland-Akron-Canton, OH"
88,36260,"Ogden, UT",Utah,"672,784","667,789","639,140","33,644",5.3%,3,482,"Salt Lake City-Provo-Orem, UT-ID"
89,37340,"Palm Bay-Melbourne-Titusville, FL",Florida,"663,982","656,254","608,765","55,217",9.1%,1,,
90,48620,"Wichita, KS",Kansas,"663,809","659,504","648,556","15,253",2.4%,4,556,"Wichita-Arkansas City-Winfield, KS"
91,45060,"Syracuse, NY",New York,"652,273","653,548","660,808","-8,535",-1.3%,3,532,"Syracuse-Auburn, NY"
92,12260,"Augusta-Richmond County, GA-SC","Georgia, South Carolina","641,231","635,550","612,228","29,003",4.7%,7,,
93,20500,"Durham-Chapel Hill, NC",North Carolina,"625,485","618,157","582,060","43,425",7.5%,4,450,"Raleigh-Durham-Cary, NC"
94,22220,"Fayetteville-Springdale-Rogers, AR",Arkansas,"622,177","607,433","549,908","72,269",13.1%,3,,
95,25420,"Harrisburg-Carlisle, PA",Pennsylvania,"617,427","614,139","592,775","24,652",4.2%,3,276,"Harrisburg-York-Lebanon, PA"
96,27140,"Jackson, MS",Mississippi,"609,847","608,497","618,845","-8,998",-1.5%,8,298,"Jackson-Vicksburg-Brookhaven, MS"
97,44060,"Spokane-Spokane Valley, WA",Washington,"608,012","604,663","587,729","20,283",3.5%,2,518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
98,45780,"Toledo, OH",Ohio,"599,376","599,402","605,724","-6,348",-1.0%,3,,
99,16860,"Chattanooga, TN-GA","Georgia, Tennessee","594,530","589,864","564,631","29,899",5.3%,6,174,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
100,35300,"New Haven, CT",Connecticut,"578,741","577,538","564,449","14,292",2.5%,1,405,"New Haven-Hartford-Waterbury, CT"
101,39900,"Reno, NV",Nevada,"578,734","573,341","551,300","27,434",5.0%,3,456,"Reno-Carson City-Gardnerville Ranchos, NV-CA"
102,38860,"Portland-South Portland, ME",Maine,"577,635","573,465","552,591","25,044",4.5%,3,438,"Portland-Lewiston-South Portland, ME"
103,42540,"Scranton--Wilkes-Barre, PA",Pennsylvania,"574,418","573,173","566,757","7,661",1.4%,3,,
104,38940,"Port St. Lucie, FL",Florida,"568,721","556,794","490,109","78,612",16.0%,2,370,"Miami-Port St. Lucie-Fort Lauderdale, FL"
105,29540,"Lancaster, PA",Pennsylvania,"563,159","562,062","552,819","10,340",1.9%,1,,
106,33700,"Modesto, CA",California,"557,719","557,372","553,702","4,017",0.7%,1,488,"San Jose-San Francisco-Oakland, CA"
107,26620,"Huntsville, AL",Alabama,"556,444","542,122","494,708","61,736",12.5%,2,290,"Huntsville-Decatur-Albertville, AL-TN"
108,37860,"Pensacola-Ferry Pass-Brent, FL",Florida,"544,949","539,843","511,571","33,378",6.5%,2,,
109,30460,"Lexington-Fayette, KY",Kentucky,"535,174","530,816","517,431","17,743",3.4%,6,336,"Lexington-Fayette--Richmond--Frankfort, KY"
110,28660,"Killeen-Temple, TX",Texas,"511,497","506,188","477,213","34,284",7.2%,3,,
111,44180,"Springfield, MO",Missouri,"500,694","496,363","476,379","24,315",5.1%,5,,
112,48900,"Wilmington, NC",North Carolina,"492,772","480,374","425,198","67,574",15.9%,3,,
113,42220,"Santa Rosa-Petaluma, CA",California,"486,444","485,363","488,514","-2,070",-0.4%,1,,
114,47300,"Visalia, CA",California,"485,146","483,851","473,915","11,231",2.4%,1,,
115,29620,"Lansing-East Lansing, MI",Michigan,"479,722","476,759","473,347","6,375",1.3%,3,330,"Lansing-East Lansing-Owosso, MI"
116,49620,"York-Hanover, PA",Pennsylvania,"473,197","469,986","456,725","16,472",3.6%,1,276,"Harrisburg-York-Lebanon, PA"
117,23060,"Fort Wayne, IN",Indiana,"466,258","462,866","448,605","17,653",3.9%,3,258,"Fort Wayne-Huntington-Auburn, IN"
118,44140,"Springfield, MA",Massachusetts,"464,338","463,418","463,651",687,0.1%,1,521,"Springfield-Amherst Town-Northampton, MA"
119,47930,"Waterbury-Shelton, CT",Connecticut,"463,349","461,480","448,993","14,356",3.2%,1,405,"New Haven-Hartford-Waterbury, CT"
120,46700,"Vallejo, CA",California,"455,376","455,076","452,895","2,481",0.5%,1,488,"San Jose-San Francisco-Oakland, CA"
121,18580,"Corpus Christi, TX",Texas,"451,191","450,145","446,323","4,868",1.1%,3,204,"Corpus Christi-Kingsville-Alice, TX"
122,41420,"Salem, OR",Oregon,"445,814","443,423","434,267","11,547",2.7%,2,440,"Portland-Vancouver-Salem, OR-WA"
123,36100,"Ocala, FL",Florida,"442,660","427,995","377,432","65,228",17.3%,1,,
124,42200,"Santa Maria-Santa Barbara, CA",California,"442,065","443,081","448,325","-6,260",-1.4%,1,,
125,39740,"Reading, PA",Pennsylvania,"440,072","438,379","428,651","11,421",2.7%,1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
126,42340,"Savannah, GA",Georgia,"438,314","434,036","405,341","32,973",8.1%,3,496,"Savannah-Hinesville-Statesboro, GA"
127,15180,"Brownsville-Harlingen, TX",Texas,"433,946","432,952","421,504","12,442",3.0%,1,154,"Brownsville-Harlingen-Raymondville, TX"
128,41500,"Salinas, CA",California,"433,729","433,447","440,493","-6,764",-1.5%,1,,
129,31700,"Manchester-Nashua, NH",New Hampshire,"433,415","430,442","422,902","10,513",2.5%,1,148,"Boston-Worcester-Providence, MA-RI-NH"
130,25060,"Gulfport-Biloxi, MS",Mississippi,"431,329","427,464","416,648","14,681",3.5%,4,,
131,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",South Carolina,"427,551","414,307","353,774","73,777",20.9%,1,396,"Myrtle Beach-Conway, SC"
132,29180,"Lafayette, LA",Louisiana,"423,758","420,683","408,235","15,523",3.8%,4,318,"Lafayette-New Iberia-Opelousas, LA"
133,49660,"Youngstown-Warren, OH",Ohio,"423,678","424,591","429,670","-5,992",-1.4%,2,566,"Youngstown-Warren-Salem, OH"
134,11700,"Asheville, NC",North Carolina,"422,345","422,979","407,559","14,786",3.6%,3,120,"Asheville-Waynesville-Brevard, NC"
135,34940,"Naples-Marco Island, FL",Florida,"417,131","416,722","377,327","39,804",10.5%,1,163,"Cape Coral-Fort Myers-Naples, FL"
136,33660,"Mobile, AL",Alabama,"411,658","412,193","414,414","-2,756",-0.7%,1,380,"Mobile-Daphne-Fairhope, AL"
137,43900,"Spartanburg, SC",South Carolina,"407,656","396,728","356,543","51,113",14.3%,2,273,"Greenville-Spartanburg-Anderson, SC"
138,11260,"Anchorage, AK",Alaska,"405,821","404,623","398,391","7,430",1.9%,2,,
139,22420,"Flint, MI",Michigan,"401,093","401,288","405,746","-4,653",-1.1%,1,220,"Detroit-Warren-Ann Arbor, MI"
140,15940,"Canton-Massillon, OH",Ohio,"400,246","399,807","401,237",-991,-0.2%,2,184,"Cleveland-Akron-Canton, OH"
141,13140,"Beaumont-Port Arthur, TX",Texas,"399,310","399,102","397,257","2,053",0.5%,3,,
142,45940,"Trenton-Princeton, NJ",New Jersey,"399,289","397,329","386,434","12,855",3.3%,1,408,"New York-Newark, NY-NJ-CT-PA"
143,45220,"Tallahassee, FL",Florida,"397,442","396,048","385,672","11,770",3.1%,4,533,"Tallahassee-Bainbridge, FL-GA"
144,22180,"Fayetteville, NC",North Carolina,"395,412","392,907","389,230","6,182",1.6%,2,246,"Fayetteville-Lumberton-Pinehurst, NC"
145,33860,"Montgomery, AL",Alabama,"388,747","387,933","385,406","3,341",0.9%,4,388,"Montgomery-Selma, AL"
146,43340,"Shreveport-Bossier City, LA",Louisiana,"383,474","383,764","392,511","-9,037",-2.3%,3,508,"Shreveport-Bossier City-Minden, LA"
147,21660,"Eugene-Springfield, OR",Oregon,"381,584","382,081","384,242","-2,658",-0.7%,1,,
148,19340,"Davenport-Moline-Rock Island, IA-IL","Illinois, Iowa","380,452","379,916","383,767","-3,315",-0.9%,4,209,"Davenport-Moline, IA-IL"
149,24540,"Greeley, CO",Colorado,"378,426","371,280","331,434","46,992",14.2%,1,216,"Denver-Aurora-Greeley, CO"
150,22660,"Fort Collins-Loveland, CO",Colorado,"377,292","374,200","359,942","17,350",4.8%,1,,
151,25860,"Hickory-Lenoir-Morganton, NC",North Carolina,"376,890","373,361","365,142","11,748",3.2%,4,172,"Charlotte-Concord, NC-SC"
152,12100,"Atlantic City-Hammonton, NJ",New Jersey,"372,047","372,561","369,221","2,826",0.8%,2,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
153,11460,"Ann Arbor, MI",Michigan,"370,214","368,956","371,814","-1,600",-0.4%,1,220,"Detroit-Warren-Ann Arbor, MI"
154,31180,"Lubbock, TX",Texas,"368,431","364,664","352,143","16,288",4.6%,6,352,"Lubbock-Plainview, TX"
155,26580,"Huntington-Ashland, WV-KY-OH","Kentucky, Ohio, West Virginia","365,965","367,055","375,713","-9,748",-2.6%,8,170,"Charleston-Huntington-Ashland, WV-OH-KY"
156,37900,"Peoria, IL",Illinois,"363,505","363,561","368,305","-4,800",-1.3%,5,427,"Peoria-Canton, IL"
157,23540,"Gainesville, FL",Florida,"359,036","357,221","340,722","18,314",5.4%,3,264,"Gainesville-Lake City, FL"
158,30700,"Lincoln, NE",Nebraska,"352,081","349,231","340,802","11,279",3.3%,2,339,"Lincoln-Beatrice, NE"
159,17300,"Clarksville, TN-KY","Kentucky, Tennessee","349,001","346,603","321,823","27,178",8.4%,4,,
